,t,ax,ay,az,wx,wy,wz
148,484.0,-5.13,1.02,4.94,-0.69,0.28,-0.23
149,487.0,-3.9,1.19,5.26,-0.88,0.19,-0.3
150,490.0,-3.94,1.25,5.33,-1.02,0.05,-0.35
151,493.0,-4.1,1.26,5.13,-1.13,-0.09,-0.39
152,497.0,-3.29,0.97,5.04,-1.26,-0.18,-0.4
153,500.0,-4.42,0.8,4.99,-1.38,-0.35,-0.5
154,503.0,-4.36,0.69,4.81,-1.47,-0.37,-0.52
155,506.0,-5.21,0.63,4.92,-1.43,-0.42,-0.61
156,510.0,-5.72,0.95,4.91,-1.5,-0.4,-0.68
157,513.0,-5.58,1.43,5.15,-1.55,-0.37,-0.71
158,516.0,-5.15,1.93,5.28,-1.61,-0.35,-0.67
159,519.0,-4.8,2.27,5.39,-1.66,-0.33,-0.59
160,523.0,-4.57,2.34,5.41,-1.76,-0.32,-0.46
161,526.0,-4.5,2.18,5.41,-1.83,-0.3,-0.38
162,529.0,-4.65,2.01,5.43,-1.91,-0.26,-0.35
163,532.0,-4.79,1.9,5.49,-1.95,-0.18,-0.36
164,536.0,-4.78,1.67,5.54,-1.97,-0.13,-0.37
165,539.0,-4.46,1.56,5.45,-1.9,-0.11,-0.35
166,542.0,-4.1,1.41,5.48,-1.75,-0.09,-0.28
167,545.0,-4.32,1.58,5.36,-1.55,-0.12,-0.19
168,549.0,-5.07,1.7,5.1,-1.35,-0.14,-0.04
169,552.0,-5.47,1.34,5.03,-1.21,-0.12,0.04
170,555.0,-5.63,0.88,5.08,-1.08,-0.08,0.09
171,558.0,-5.52,0.53,5.07,-0.98,-0.05,0.13
172,562.0,-5.31,0.28,5.0,-0.91,-0.0,0.15
173,565.0,-5.22,0.1,5.04,-0.91,0.03,0.15
174,568.0,-5.14,-0.13,5.11,-0.96,0.04,0.15
175,571.0,-4.89,-0.36,5.29,-1.02,0.05,0.13
176,575.0,-3.86,-0.64,6.34,-1.1,-0.41,0.16
177,578.0,-4.13,-0.65,6.02,-1.21,-0.75,0.1
178,581.0,-4.59,-0.43,5.76,-1.33,-0.93,0.03
179,584.0,-5.21,-0.74,5.61,-1.33,-1.05,-0.11
180,588.0,-5.09,-1.28,5.17,-1.3,-1.04,-0.4
181,591.0,-4.77,-1.4,4.99,-1.28,-1.05,-0.66
182,594.0,-4.85,-0.81,4.23,-1.45,-1.03,-0.86
183,598.0,-4.04,0.33,4.51,-1.54,-0.87,-0.95
184,601.0,-3.16,1.32,4.55,-1.67,-1.12,-0.74
185,604.0,-2.95,2.36,3.32,-1.73,-1.21,-0.61
186,607.0,-3.8,3.32,1.9,-1.62,-1.12,-0.46
187,611.0,-4.84,4.07,0.06,-1.28,-0.97,-0.34
188,614.0,-5.45,4.59,-2.38,-0.58,-0.37,-0.15
189,617.0,-5.38,4.53,-2.49,-0.34,0.25,0.02
190,620.0,-4.98,4.38,-1.54,-0.08,0.8,0.24
191,624.0,-4.46,4.31,-0.05,0.14,1.21,0.5
192,627.0,-3.85,4.14,1.86,0.15,1.58,0.9
193,630.0,-3.69,3.8,3.09,-0.02,1.76,1.18
194,633.0,-4.01,3.14,4.03,-0.2,1.86,1.4
195,637.0,-4.56,2.24,4.67,-0.35,1.92,1.56
196,640.0,-5.26,0.78,5.14,-0.47,1.92,1.7
197,643.0,-5.57,-0.3,5.44,-0.53,1.93,1.74
198,646.0,-5.71,-1.33,5.85,-0.59,1.89,1.74
199,650.0,-5.77,-2.19,6.31,-0.75,1.87,1.68
200,653.0,-5.59,-3.24,7.3,-1.08,1.75,1.55
201,656.0,-5.09,-4.16,7.61,-1.07,1.48,1.52
202,659.0,-5.15,-4.41,6.92,-1.06,1.25,1.45
203,663.0,-5.36,-4.42,6.6,-1.47,1.18,1.38
204,666.0,-5.06,-4.77,6.54,-1.93,1.03,1.27
205,669.0,-5.01,-5.05,5.42,-1.91,0.92,1.17
206,672.0,-5.17,-4.88,4.21,-2.06,1.05,1.06
207,676.0,-5.06,-4.81,3.74,-2.18,1.3,1.0
208,679.0,-4.59,-4.42,2.91,-1.87,1.6,0.95
209,682.0,-4.35,-3.89,2.41,-1.62,1.88,0.92
210,685.0,-4.27,-3.34,2.2,-1.41,2.18,0.87
211,689.0,-4.43,-2.84,2.3,-1.15,2.45,0.8
212,692.0,-4.76,-2.39,2.62,-0.86,2.7,0.73
213,695.0,-5.24,-1.97,3.37,-0.45,3.03,0.7
214,698.0,-5.58,-1.77,4.16,-0.05,3.25,0.73
215,702.0,-5.84,-1.63,5.08,0.43,3.39,0.79
216,705.0,-6.11,-1.5,6.01,0.93,3.47,0.86
217,708.0,-6.44,-1.2,7.38,1.44,3.48,0.93
218,711.0,-6.74,-0.87,8.47,1.67,3.41,0.95
219,714.0,-7.06,-0.47,9.51,1.74,3.27,0.93
220,718.0,-7.34,-0.04,10.43,1.63,3.07,0.88
221,721.0,-7.49,0.47,11.36,1.17,2.7,0.8
222,724.0,-7.34,0.72,11.74,0.68,2.34,0.73
223,727.0,-7.01,0.78,11.82,0.12,1.92,0.67
224,731.0,-6.57,0.65,11.57,-0.43,1.45,0.61
225,734.0,-6.16,0.36,10.97,-0.95,0.98,0.55
226,737.0,-5.67,-0.12,9.81,-1.51,0.38,0.45
227,740.0,-5.47,-0.47,8.83,-1.82,-0.03,0.36
228,744.0,-5.37,-0.73,7.86,-2.01,-0.39,0.25
229,747.0,-5.39,-0.9,6.97,-2.12,-0.71,0.14
230,750.0,-5.46,-0.96,5.98,-2.16,-1.06,-0.01
231,753.0,-5.48,-0.91,5.43,-2.13,-1.27,-0.09
232,757.0,-5.48,-0.82,4.98,-2.09,-1.42,-0.15
233,760.0,-5.45,-0.71,4.61,-2.04,-1.51,-0.18
234,763.0,-5.5,-0.59,4.2,-1.94,-1.55,-0.17
235,766.0,-5.63,-0.49,3.94,-1.84,-1.52,-0.14
236,770.0,-5.84,-0.4,3.74,-1.7,-1.43,-0.08
237,773.0,-6.13,-0.3,3.53,-1.48,-1.23,0.03
238,776.0,-6.34,-0.22,3.43,-1.29,-1.03,0.14
239,780.0,-6.48,-0.13,3.39,-1.08,-0.81,0.26
240,783.0,-6.55,-0.02,3.38,-0.85,-0.56,0.38
241,786.0,-6.56,0.27,3.4,-0.52,-0.23,0.56
242,789.0,-6.57,0.57,3.51,-0.28,0.02,0.7
243,793.0,-6.62,0.92,3.71,-0.03,0.26,0.84
244,796.0,-6.74,1.25,3.8,0.15,0.45,1.0
245,799.0,-7.41,1.36,2.57,-0.48,0.52,1.23
246,802.0,-8.02,1.11,1.73,-1.26,0.6,1.3
247,805.0,-10.71,0.74,4.72,-1.39,0.65,1.32
248,809.0,-14.05,-0.4,9.74,-1.37,0.36,1.25
249,812.0,-12.81,0.71,5.25,-1.74,-0.21,1.18
250,815.0,-11.22,0.92,2.86,-2.06,-0.08,1.23
251,818.0,-10.22,1.44,3.93,-1.9,-0.13,1.19
252,822.0,-9.49,1.17,5.93,-2.25,-0.32,1.27
253,825.0,-8.36,1.37,4.81,-2.33,-0.76,1.28
254,828.0,-6.96,1.07,8.8,-2.02,-1.37,1.3
255,831.0,-6.5,1.41,6.05,-1.42,-1.56,1.35
256,835.0,-5.88,1.69,4.9,-0.7,-1.61,1.47
257,838.0,-5.38,1.41,4.84,-0.31,-1.45,1.68
258,841.0,-4.66,0.28,5.21,0.0,-1.18,1.93
259,844.0,-4.23,-0.67,4.55,0.13,-1.07,2.05
260,848.0,-3.95,-1.94,4.7,0.21,-1.09,2.12
261,851.0,-4.09,-2.9,4.48,0.15,-1.01,2.12
262,854.0,-4.47,-3.64,4.62,0.06,-0.81,2.07
263,857.0,-4.77,-3.54,4.47,0.1,-0.58,2.02
264,861.0,-5.24,-3.1,4.36,0.09,-0.27,1.99
265,864.0,-5.69,-2.73,4.69,0.07,0.02,1.97
266,867.0,-6.13,-2.58,4.84,0.05,0.24,1.98
267,870.0,-6.45,-2.67,4.68,0.05,0.24,1.95
268,874.0,-6.76,-2.89,4.69,0.04,0.21,1.9
269,877.0,-6.94,-3.12,4.8,0.07,0.1,1.81
270,880.0,-7.13,-3.28,4.55,0.05,0.06,1.72
271,883.0,-7.09,-3.65,4.92,-0.01,0.05,1.53
272,886.0,-6.93,-3.83,4.85,0.02,-0.03,1.37
273,890.0,-6.64,-3.87,4.81,0.04,-0.11,1.19
274,893.0,-6.26,-3.77,4.85,0.06,-0.23,1.02
275,896.0,-5.68,-3.65,4.83,0.08,-0.41,0.84
276,899.0,-5.27,-3.46,4.97,0.08,-0.51,0.72
277,903.0,-5.02,-3.22,4.64,0.04,-0.55,0.63
278,906.0,-4.64,-3.12,4.7,0.06,-0.57,0.52
279,909.0,-4.24,-3.02,4.74,0.07,-0.53,0.4
280,912.0,-3.96,-2.96,4.89,0.04,-0.49,0.3
281,916.0,-3.68,-2.86,4.98,-0.05,-0.44,0.22
282,919.0,-3.74,-2.76,4.74,-0.13,-0.38,0.15
283,922.0,-4.31,-2.43,4.37,-0.04,-0.25,0.09
284,925.0,-4.66,-1.81,4.49,0.09,-0.14,0.08
285,929.0,-4.87,-1.34,4.53,0.17,-0.03,0.1
286,932.0,-5.12,-1.04,4.86,0.23,0.09,0.13
287,935.0,-5.5,-0.69,4.82,0.14,0.19,0.15
288,938.0,-5.79,-0.54,4.82,0.1,0.22,0.13
289,942.0,-5.88,-0.45,4.81,0.09,0.24,0.1
290,945.0,-5.9,-0.4,4.8,0.09,0.24,0.08
291,948.0,-5.88,-0.37,4.75,0.09,0.23,0.07
292,951.0,-5.82,-0.37,4.75,0.11,0.2,0.07
293,955.0,-5.93,-0.33,4.79,0.1,0.16,0.07
294,958.0,-5.95,-0.33,4.77,0.09,0.1,0.06
295,961.0,-5.96,-0.35,4.77,0.09,0.02,0.03
296,964.0,-5.9,-0.34,4.77,0.09,-0.1,-0.02
297,968.0,-5.87,-0.35,4.77,0.08,-0.17,-0.05
298,971.0,-5.85,-0.34,4.76,0.08,-0.23,-0.08
299,974.0,-5.85,-0.36,4.77,0.08,-0.27,-0.09
300,977.0,-5.81,-0.34,4.75,0.07,-0.3,-0.11
301,981.0,-5.81,-0.35,4.76,0.07,-0.31,-0.11
302,984.0,-5.79,-0.34,4.75,0.07,-0.32,-0.11
303,987.0,-5.75,-0.34,4.75,0.07,-0.31,-0.12
304,990.0,-5.72,-0.34,4.75,0.08,-0.27,-0.11
305,994.0,-5.69,-0.33,4.75,0.08,-0.23,-0.09
306,997.0,-5.68,-0.32,4.73,0.08,-0.17,-0.07
307,1000.0,-5.67,-0.31,4.73,0.08,-0.12,-0.04
308,1003.0,-5.71,-0.31,4.74,0.07,-0.05,-0.01
309,1007.0,-5.72,-0.3,4.74,0.07,-0.01,0.0
310,1010.0,-5.73,-0.31,4.75,0.07,0.03,0.01
311,1013.0,-5.75,-0.32,4.75,0.07,0.05,0.02
312,1016.0,-5.77,-0.31,4.73,0.08,0.08,0.03
313,1020.0,-5.79,-0.31,4.74,0.09,0.09,0.04
314,1023.0,-5.82,-0.3,4.76,0.09,0.09,0.04
315,1026.0,-5.84,-0.3,4.76,0.09,0.07,0.03
316,1029.0,-5.86,-0.31,4.78,0.08,0.04,0.02
317,1032.0,-5.87,-0.31,4.78,0.08,0.0,0.0
318,1036.0,-5.87,-0.3,4.8,0.08,-0.04,-0.01
319,1039.0,-5.88,-0.32,4.79,0.08,-0.07,-0.02
320,1042.0,-5.87,-0.33,4.78,0.08,-0.1,-0.03
321,1045.0,-5.86,-0.33,4.77,0.08,-0.14,-0.04
322,1049.0,-5.87,-0.33,4.78,0.08,-0.17,-0.05
323,1052.0,-5.83,-0.33,4.77,0.08,-0.18,-0.06
324,1055.0,-5.81,-0.34,4.77,0.08,-0.19,-0.07
325,1059.0,-5.76,-0.33,4.77,0.08,-0.19,-0.07
326,1062.0,-5.75,-0.34,4.76,0.08,-0.18,-0.07
327,1065.0,-5.72,-0.34,4.76,0.08,-0.17,-0.06
328,1068.0,-5.72,-0.33,4.76,0.08,-0.14,-0.05
329,1072.0,-5.71,-0.33,4.76,0.08,-0.11,-0.04
330,1075.0,-5.73,-0.33,4.76,0.08,-0.09,-0.03
331,1078.0,-5.74,-0.32,4.76,0.08,-0.06,-0.02
332,1081.0,-5.73,-0.34,4.77,0.08,-0.03,-0.01
333,1085.0,-5.74,-0.33,4.77,0.08,-0.01,-0.0
334,1088.0,-5.75,-0.33,4.78,0.08,0.0,-0.0
335,1091.0,-5.77,-0.34,4.78,0.08,0.01,0.0
336,1094.0,-5.76,-0.33,4.75,0.08,0.01,0.01
337,1098.0,-5.79,-0.34,4.77,0.08,0.0,0.0
338,1101.0,-5.8,-0.31,4.77,0.08,-0.01,0.0
339,1104.0,-5.79,-0.31,4.78,0.08,-0.02,-0.0
340,1107.0,-5.79,-0.33,4.79,0.08,-0.04,-0.01
341,1111.0,-5.8,-0.34,4.81,0.08,-0.06,-0.02
342,1114.0,-5.81,-0.34,4.81,0.08,-0.08,-0.02
343,1117.0,-5.8,-0.34,4.78,0.08,-0.09,-0.03
344,1120.0,-5.82,-0.35,4.8,0.08,-0.11,-0.03
345,1124.0,-5.79,-0.35,4.82,0.08,-0.12,-0.04
346,1127.0,-5.79,-0.37,4.8,0.07,-0.12,-0.04
347,1130.0,-5.78,-0.37,4.77,0.07,-0.13,-0.05
348,1133.0,-5.77,-0.36,4.76,0.07,-0.12,-0.04
349,1137.0,-5.76,-0.35,4.77,0.07,-0.12,-0.04
350,1140.0,-5.75,-0.35,4.78,0.07,-0.11,-0.04
351,1143.0,-5.73,-0.36,4.79,0.07,-0.1,-0.03
352,1146.0,-5.72,-0.36,4.8,0.08,-0.08,-0.03
353,1150.0,-5.73,-0.37,4.81,0.08,-0.07,-0.02
354,1153.0,-5.72,-0.37,4.8,0.08,-0.06,-0.02
355,1156.0,-5.72,-0.36,4.77,0.08,-0.04,-0.02
356,1160.0,-5.71,-0.36,4.76,0.08,-0.03,-0.01
357,1163.0,-5.74,-0.36,4.78,0.08,-0.03,-0.01
358,1166.0,-5.73,-0.35,4.78,0.08,-0.03,-0.01
359,1169.0,-5.74,-0.35,4.78,0.08,-0.03,-0.01
360,1173.0,-5.76,-0.35,4.78,0.08,-0.03,-0.01
361,1176.0,-5.76,-0.35,4.77,0.08,-0.04,-0.01
362,1179.0,-5.77,-0.35,4.77,0.08,-0.05,-0.01
363,1182.0,-5.76,-0.34,4.78,0.08,-0.05,-0.02
364,1186.0,-5.76,-0.34,4.74,0.08,-0.07,-0.02
365,1189.0,-5.38,-0.28,4.5,0.07,-0.07,-0.03
366,1192.0,-5.03,-0.2,4.17,0.06,-0.07,-0.03
367,1195.0,-4.98,-0.18,4.32,0.05,-0.06,-0.04
368,1199.0,-5.43,-0.23,4.69,0.04,-0.03,-0.08
369,1202.0,-5.56,-0.2,4.93,0.02,-0.04,-0.13
370,1205.0,-5.58,-0.1,5.12,-0.01,-0.05,-0.16
371,1209.0,-5.62,0.04,5.28,-0.05,0.03,-0.13
372,1212.0,-5.6,0.14,5.13,-0.01,0.08,-0.05
373,1215.0,-5.74,0.08,4.8,0.08,0.13,0.09
374,1218.0,-5.94,-0.21,5.07,0.2,0.23,0.23
375,1221.0,-6.16,-0.57,4.68,0.15,0.28,0.32
376,1225.0,-6.56,-0.94,4.71,0.12,0.23,0.29
377,1228.0,-6.54,-0.77,4.77,0.12,0.09,0.17
378,1231.0,-6.48,-0.65,4.9,0.11,-0.11,0.02
379,1234.0,-6.35,-0.52,4.84,0.09,-0.26,-0.1
380,1238.0,-5.87,-0.4,4.72,0.09,-0.33,-0.17
381,1241.0,-5.73,-0.37,4.65,0.07,-0.33,-0.15
382,1244.0,-5.71,-0.39,4.59,0.09,-0.32,-0.11
383,1247.0,-5.76,-0.35,4.78,0.1,-0.32,-0.07
384,1251.0,-5.91,-0.38,4.84,0.1,-0.37,-0.06
385,1254.0,-5.94,-0.36,4.9,0.1,-0.4,-0.08
386,1257.0,-5.93,-0.35,4.93,0.08,-0.4,-0.1
387,1260.0,-5.84,-0.35,4.87,0.05,-0.35,-0.11
388,1264.0,-5.71,-0.37,4.72,0.05,-0.23,-0.09
389,1267.0,-5.61,-0.35,4.74,0.07,-0.15,-0.06
390,1270.0,-5.57,-0.34,4.74,0.08,-0.08,-0.01
391,1274.0,-5.6,-0.35,4.73,0.1,-0.04,0.02
392,1277.0,-5.65,-0.31,4.86,0.12,-0.02,0.04
393,1280.0,-5.73,-0.34,4.82,0.11,-0.0,0.04
394,1283.0,-5.68,-0.33,4.75,0.1,0.03,0.03
395,1286.0,-5.64,-0.33,4.69,0.09,0.06,0.02
396,1290.0,-5.61,-0.31,4.69,0.08,0.09,0.01
397,1293.0,-5.64,-0.31,4.73,0.08,0.09,0.01
398,1296.0,-5.7,-0.33,4.81,0.08,0.07,0.02
399,1299.0,-5.75,-0.34,4.85,0.08,0.03,0.03
400,1303.0,-5.83,-0.36,4.86,0.08,-0.03,0.01
401,1306.0,-5.83,-0.36,4.86,0.08,-0.07,-0.0
402,1309.0,-5.83,-0.35,4.87,0.08,-0.1,-0.02
403,1312.0,-5.79,-0.36,4.85,0.08,-0.12,-0.04
404,1316.0,-5.75,-0.36,4.85,0.08,-0.14,-0.06
405,1329.0,-8.41,-20.97,5.1,0.06,-0.21,-1.02
406,1332.0,-8.74,-21.85,6.12,-0.32,-0.09,-1.91
407,1336.0,-6.93,-9.89,7.61,-1.05,-0.09,-2.61
408,1339.0,-4.54,15.54,6.48,-1.99,-0.28,-2.22
409,1342.0,-6.6,6.88,4.69,-1.95,-0.64,-1.87
410,1346.0,-6.56,4.29,4.59,-1.82,-0.81,-2.08
411,1349.0,-8.31,2.33,3.86,-1.48,-1.16,-2.53
412,1352.0,-9.02,0.61,5.28,-1.13,-0.85,-2.55
413,1355.0,-8.56,-0.14,7.08,-0.58,-0.88,-2.41
414,1359.0,-7.99,-0.54,6.4,-0.12,-1.09,-2.13
415,1362.0,-7.39,-0.71,5.77,0.3,-1.35,-1.87
